CUI,Canonical name
C0446412,Level of the second cervical vertebra
C0447274,Entire maxillary right lateral incisor tooth
C0489886,Structure of left subclavian vein
C0027720,Nephrosis
C0230388,Index finger
C0227629,Renal pyramid structure
C0600139,Prostate carcinoma
C0078960,Anterior Cruciate Ligament
C0010051,Coronary Aneurysm
C0206327,Structure of ligamentum flavum
C0522476,Patient affected
C0024121,Lung Neoplasms
C0040113,Thymus Gland
C0042961,Intestinal Volvulus
C1275670,Collateral branch of vessel
C0582802,Digit structure
C0226333,Structure of left renal artery
C0333160,Air cyst
C0154844,Separation of retinal layers
C0004456,Structure of axillary vein
C0225434,Inferior nasal concha
C0224498,Meniscus structure of joint
C0230131,Posterior chest wall
C1512955,Intralesional Route of Drug Administration
C0227813,Body of uterus
C0240059,Ventricular hemorrhage
C0008707,Chronic osteomyelitis
C0003165,Anthracosis
C0745442,Intravenous Catheters
C0226332,Structure of right renal artery
C0225731,Structure of apex of left lung
C0032743,Positron-Emission Tomography
C0042384,Vasculitis
C0228482,Cerebellar vermis structure
C0015826,Fenestration (morphologic abnormality)
C1265877,Pathologic mineralization
C1235681,Distal tendon of biceps brachii
C0439682,Follicular
C3472245,Single Photon Emission Computed Tomography Computed Tomography
C0226611,Structure of superior ophthalmic vein
C0040126,Thyroid cartilage structure
C0231953,Lung Volumes
C0013990,Pathological accumulation of air in tissues
C0333099,Fusiform Aneurysm
C0238199,Volvulus of small intestine
C0010323,Cricoid cartilage structure
C0546018,Right basal ganglia
C0242255,Tympanic cavity
C0002390,Extrinsic allergic alveolitis
C0005847,Blood Vessel
C0224849,Structure of extensor tendon
C2711599,Structure of mandibular incisor tooth
C0227817,fundus uteri
C1562459,Neck and chest
C0444611,Fluid behavior
C0222716,Structure of wormian bone
C0023269,leiomyosarcoma
C0677897,Intrathecal Route of Drug Administration
C0223645,Structure of anterior inferior iliac spine
C0475358,Tumor tissue sample
C0226864,Structure of transverse sinus
C0227873,Structure of right ovary
C0023370,Leriche Syndrome
C0524466,Intracranial
C0014009,Empyema
C0228181,Structure of centrum semiovale
C0333203,Occlusive thrombus
C1265763,Cystic dilatation
C0029464,Osteosclerosis
C0206366,Ossification of Posterior Longitudinal Ligament
C0222331,Subcutaneous Fat
C0225610,Right superior lobar bronchus
C4551650,Esophageal Stricture
C0014068,Encephalomalacia
C0020312,Hydrothorax
C0014540,Epiglottis structure
C0225630,Left main bronchus structure
C0018944,Hematoma
C0447620,Structure of uterine wall
C0007134,Renal Cell Carcinoma
C0004454,Axilla
C0040399,"Tomography, Emission-Computed, Single-Photon"
C0029445,Bone necrosis
C0555898,Sacroiliac
C0226088,Structure of carotid bifurcation
C0336699,"Bullet, device"
C0007806,Cerebrospinal Fluid
C3888056,Valve (physical object)
C0227224,Stomach wall structure
C1285115,Left hip joint structure
C1265885,Diffuse calcium deposition
C0584882,Infraspinatous muscle structure
C0224469,Peroneus longus muscle structure
C0023884,Liver
C0019077,Hemopneumothorax
C0225928,Structure of leaflet of tricuspid valve
C0226069,Left pulmonary artery
C1142578,Bilateral pneumonia
C2317432,Effusion (substance)
C0878544,Cardiomyopathies
C1268089,Entire viscus
C0227486,Left lobe of liver
C0034069,Pulmonary Fibrosis
C0521169,Compression fracture
C0225408,Structure of dorsum of nose
C0006281,Congenital bronchogenic cyst
C0036760,Serous Membrane
C0227302,Structure of inferior portion of duodenum
C0040583,Tracheal Stenosis
C0011168,Deglutition Disorders
C0206066,Rectus Abdominis
C0227902,Left fallopian tube
C0401119,Lumbar hernia
C0229792,Lymph node of mesentery
C0748427,Right atrial enlargement
C0278403,Subcutaneous Tissue
C0036700,Septum Pellucidum
C0227841,Cervical canal structure
C0267771,Retroperitoneal mass
C0226323,Structure of ileocolic artery
C0230128,Left thorax structure
C0932074,Midfoot region of foot
C0259779,Fibrous Dysplasia
C0018188,Granuloma
C0521443,Structure of lateral abdominal wall
C1145640,"Central venous catheter, device"
C0458624,Entire tunica albuginea of testis
C0243069,Hypoplasia
C0751440,Pituitary Stalk
C0032019,Pituitary Neoplasms
C0012624,Discitis
C0037949,Vertebral column
C0040996,Trigeminal nerve structure
C1140618,Upper Extremity
C0740277,Bile duct carcinoma
C0038291,Sternoclavicular joint structure
C0180307,Defibrillators
C0018792,Heart Atrium
C0230147,Superior mediastinum
C0446472,Surface region of side of chest
C0934462,Submandibular space structure
C0524470,Right hip region structure
C5235043,Structure of left orbital region
C0553580,Ewings sarcoma
C0223651,Iliac crest structure
C0036205,"Sarcoidosis, Pulmonary"
C0039493,Temporomandibular Joint
C1690005,MRI venography
C0034606,Radionuclide Imaging
C0227221,Lesser curvature of stomach
C0020449,Hyperdistention
C0034088,Pulmonary Valve Insufficiency
C0013455,middle ear
C2945625,Feeding tube
C0010346,Crohn Disease
C0019145,Hepatic artery
C0038356,Stomach Neoplasms
C0016734,Frontal Sinus
C0008484,Structure of chordae tendineae cordis
C0442044,Ulnar (qualifier value)
C0448190,Entire proximal femur
C0446432,L1 level
C0003615,Appendicitis
C0340654,Arterial hemorrhage
C0948162,Edema of bone marrow
C2336763,Cephalometric orbitale point
C0039597,Testis
C0078981,Arachnoid Cysts
C0227546,Structure of neck of gallbladder
C0446985,Entire right sinus of Valsalva
C0027740,Nerve
C0151701,Pulmonary hemorrhage
C0230028,Oral region
C0040408,Tongue
C0242202,Cerebrum
C0242694,Soleus muscle structure
C0010668,"Cystic Adenomatoid Malformation of Lung, Congenital"
C1522653,Endotracheal Route of Drug Administration
C0225778,Pleural fluid
C0149521,"Pancreatitis, Chronic"
C0006095,Structure of brachiocephalic vein
C0024949,Structure of maxillary artery
C2960678,Periodontal Route of Administration
C0155747,Aneurysm of splenic artery
C0014124,Endocardium
C0031093,Periodontal Ligament
C0242696,Diaphyses
C1261317,Transplanted kidney
C0025526,Metacarpal bone
C0749225,Systolic dysfunction
C0019552,Hip structure
C0230005,Occipital region
C2346418,Porion
C0042487,Venous Thrombosis
C0229289,Lacrimal sac
C0226723,Structure of right ovarian vein
C0238463,Papillary thyroid carcinoma
C0032300,Lobar Pneumonia
C0034065,Pulmonary Embolism
C0446567,Medial aspect of knee
C0225752,Structure of lobe of lung
C0011429,Dentin
C0856747,"Aneurysm, Ascending Aorta"
C0017086,Gangrene
C0225358,Bladder Detrusor Muscle
C0750929,"Arnold-Chiari Malformation, Type I"
C0037004,Shoulder
C4476767,Diffuse alveolar hemorrhage
C0588205,Bone structure of proximal radius
C0016068,Fibula
C1285517,Orbital fat structure
C0410480,Avascular Necrosis of Femur Head
C0224301,Structure of erector spinae muscle
C0227898,Both ovaries
C0029396,Heterotopic Ossification
C0004030,Aspergillosis
C0226362,Structure of right common iliac artery
C0226694,Left superior vena cava
C0332853,Anastomosis
C0227235,Structure of gastric lumen
C0227223,Greater curvature of stomach
C0393984,Herniation under falx cerebri
C0238207,Ectopic kidney
C0025525,Metacarpophalangeal joint structure
C0222721,Structure of hypoglossal canal
C0149721,Left Ventricular Hypertrophy
C0282082,Gluteal Region
C0162857,Structure of radial artery
C0333641,Atrophic
C0270612,Leukoencephalopathy
C0442037,Popliteal
C0227471,Structure of left submaxillary gland
C1305624,Entire descending aorta
C0222601,Left breast
C0923926,Structure of right optic nerve
C0016059,Fibrosis
C0006655,Bone structure of calcaneum
C0412620,CT of abdomen
C0152279,Lateral ventricle structure
C0027551,Needle device
C0344724,Ostium secundum atrial septal defect
C0023317,"Lens, Crystalline"
C0524471,Structure of left hip
C0205106,Transverse - anatomical location
C0340030,Pleural plaque
C0333372,Abscess cavity
C0229685,Structure of hilum of spleen
C0595695,Periarticular Route of Administration
C0334135,Sclerotic (qualifier value)
C0030580,Parotid Gland
C0226543,Structure of external jugular vein
C0235946,Cerebral atrophy
C0002940,Aneurysm
C0015560,Fallopian Tubes
C0016555,Forelimb
C0086120,Dentate nucleus
C0229559,Structure of right adrenal gland
C0028881,Structure of odontoid process of axis
C0038527,Subarachnoid Space
C0027830,neurofibroma
C0012736,Dissecting aortic aneurysm
C0224512,Syndesmosis structure
C0447514,Part of duodenum
C0175662,Ventriculoperitoneal catheter
C1720771,Testicular Hydrocele
C0441127,Balloon dilatation catheter
C0346308,Pituitary macroadenoma
C0585442,Osteosarcoma of bone
C0015462,Facial nerve structure
C0087086,Thrombus
C0011649,Dermoid Cyst
C0222605,Both breasts
C0588207,Bone structure of distal radius
C0228161,Left lateral ventricle structure
C0039147,Syrinx formation
C0006094,Structure of brachiocephalic artery
C0002708,Amygdaloid structure
C0226742,Structure of superior mesenteric vein
C0152013,Adenocarcinoma of lung (disorder)
C0025066,Mediastinum
C0230149,Middle mediastinum
C0018817,Atrial Septal Defects
C0032009,"Pituitary Gland, Posterior"
C0007124,Noninfiltrating Intraductal Carcinoma
C0221209,Pelvic kidney
C0448353,Paraspinal Muscles
C0263628,Tumoral calcinosis
C0022359,Jaw
C0042930,Vocal cord structure
C0235782,Gallbladder Carcinoma
C0226366,Structure of left internal iliac artery
C0224521,Facet joint structure
C0026691,Mucocutaneous Lymph Node Syndrome
C3887615,Lumbar spine structure
C0033572,Prostate
C0225897,Left ventricular structure
C0225870,Ventricular septum
C0230361,Structure of left forearm
C1261082,Left coronary artery structure
C0226764,Structure of internal iliac vein
C0459917,Intercostal artery
C0043265,Radiocarpal joint structure
C0020629,hypopharynx
C0227470,Structure of right submaxillary gland
C0080039,Posterior Cruciate Ligament
C1562547,"Chest, abdomen, and pelvis"
C0179740,Peripherally inserted central catheter (physical object)
C0226550,Internal jugular vein structure
C0003501,Aortic valve structure
C0023759,Lip structure
C1305387,Entire internal carotid artery
C0008350,Cholelithiasis
C0489887,Structure of right subclavian vein
C0262617,Right inguinal hernia
C0224174,Structure of scalenus medius muscle
C0222769,Jugular notch of sternum
C1261080,Structure of posterior cusp of aortic valve
C0225453,Left maxillary sinus structure
C0024485,Magnetic Resonance Imaging
C0007131,Non-Small Cell Lung Carcinoma
C0574960,Sacroiliitis
C0264361,Traction bronchiectasis
C0223710,Structure of olecranon
C0017638,Glioma
C0020564,Hypertrophy
C3887532,Ulceration
C0546817,Fluid overload
C0016663,Pathological fracture
C0003461,Anus
C0225844,Right atrial structure
C1956346,Coronary Artery Disease
C1999039,Anterior-Posterior
C0179747,Dialysis catheter
C0007569,Celiac Artery
C0009195,Cochlear structure
C0001209,Acromion
C0227386,Transverse colon
C0230353,Right elbow region structure
C0021900,Intrauterine Devices
C0017067,Ganglia
C0734759,Upper pole of left kidney
C0020417,Hyoid bone structure
C0225883,Right ventricular structure
C0311245,Congenital cystic kidney disease
C1265741,Multiple calculi
C0015815,Structure of neck of femur
C0230415,Right lower extremity
C1282299,Femoral epiphysis
C0226896,Oral cavity
C0446498,Left iliac fossa
C0225608,Right main bronchus structure
C0412650,Computed tomography of cervical spine
C0016504,Foot
C0032639,Pontine structure
C0009437,Common bile duct structure
C0277785,Functional disorder
C0226408,Structure of lumbar artery
C0225777,Parietal pleura
C0149630,Bicuspid aortic valve
C0036609,Structure of pituitary fossa
C0231099,Structure of palatine duct
C1277187,Left ventricular systolic dysfunction
C0333435,Cystic degeneration
C0028936,Structure of olfactory bulb
C0948008,Ischemic stroke
C0230189,Hypogastric region
C0019123,Hemothorax
C0202660,CT coronal
C0023216,Lower Extremity
C0226027,Structure of aortic bifurcation
C0439826,Olfactory
C0006121,Brain Stem
C0428811,Mitral valve annular calcification
C0026269,Mitral Valve Stenosis
C0226109,Structure of facial artery
C0013274,Patent ductus arteriosus
C1282952,Enthesitis
C0011813,Dextrocardia
C0017189,Gastrointestinal tract structure
C0018283,Epiphysial cartilage
C0223088,Structure of intervertebral space
C0029939,Ovary
C0225789,Mediastinal pleura
C0442106,Intervertebral
C0007776,Cerebral cortex
C0032225,Pleura
C0018790,Cardiac Arrest
C0226245,Structure of anterior inferior cerebellar artery
C0225899,Myocardium of left ventricle
C0042459,Superior vena cava structure
C0004457,Axis vertebra
C0032649,Structure of popliteal artery
C0179802,Urinary catheter
C0011304,Demyelination
C0225808,Right side of heart
C0226130,Structure of superficial temporal artery
C0226363,Structure of left common iliac artery
C0230365,Structure of right wrist
C0001511,Tissue Adhesions
C0226740,Structure of paraumbilical vein
C0020880,Ileocecal Valve
C0227667,Structure of right renal pelvis
C0333222,Septic embolus
C0011980,Respiratory Diaphragm
C0227672,Renal sinus
C0228187,Structure of fissure of Sylvius
C0230393,Middle finger structure
C0221376,Hydrosalpinx (disease)
C0226017,Structure of left sinus of Valsalva
C0447373,Distal tooth root
C0446436,L4 level
C0085816,Structure of anterior tibial artery
C0039099,Synovial Membrane
C0001162,Acoustic Nerve
C0230132,Anterior chest wall structure
C0238408,Hematoma of rectus sheath
C0521102,Interferes with
C0226230,Structure of right vertebral artery
C1280324,Entire hepatic duct
C0588211,Bone structure of distal humerus
C0005423,Biliary tract structure
C0473124,Perinephric hematoma
C0224620,Carpometacarpal joint structure
C0585574,Pectoralis major muscle structure
C0025037,Meckel Diverticulum
C1370824,Interstitial emphysema
C0206692,"Carcinoma, Lobular"
C0228576,Dorsal funiculus
C1185738,Column (anatomic)
C0027859,Acoustic Neuroma
C0151936,Disorder of tendon
C0230416,Left lower extremity
C0227680,Structure of ureteropelvic junction
C0446434,L3 level
C0228186,Structure of longitudinal cerebral fissure
C0229802,Structure of retroperitoneal lymph node
C0149978,Adenocarcinoma of rectum
C0225469,Right ethmoid sinus structure
C0926861,Masticator space
C0457109,Cardiac border
C1184923,Lordosis deformity of lumbar spine
C0004144,Atelectasis
C0230127,Right thorax structure
C0446428,T10 level
C0225926,Structure of anulus fibrosus of tricuspid orifice
C0001074,Structure of achilles tendon
C0227614,Left kidney
C0015302,External exotoses
C0229118,Structure of both eyes
C0227637,Structure of perirenal fascia
C0225703,Structure of apex of lung
C0002978,angiogram
C1510420,Cavitation
C0226298,Structure of left gastric artery
C0007769,Cerebral aqueduct
C0034193,Pyloric antrum
C0006090,Brachial plexus structure
C0162485,Zygomatic Arch
C0446497,Right iliac fossa
C0265677,Congenital hemivertebra
C0549186,Obstructed
C0031153,Peritoneum
C0443301,Sequestration
C0229316,Concha of ear structure
C3887590,Stricture of ureter
C0013604,Edema
C0014860,Esophageal Perforation
C1442171,Chest and abdomen
C1800706,Idiopathic Pulmonary Fibrosis
C0740422,Fundus
C0007279,Carotid Body Paraganglioma
C0043539,Zygomatic bone
C0226157,Structure of left internal carotid artery
C0272407,Splenic cyst
C0227130,Tooth Socket
C0508000,Structure of right renal vein
C0032326,Pneumothorax
C0006114,Cerebral Edema
C0446986,Entire left sinus of Valsalva
C0728985,Cervical spine
C0036429,Sclerosis
C0006255,Bronchi
C0014175,Endometriosis
C0333548,Acute infarct
C0192389,Dilation of esophagus due to disease
C3714759,Stifle bone
C0447411,Alveolar ridge
C0543478,Residual Tumor
C0227391,Sigmoid colon
C1299991,Measurement method
C0152295,Cerebral white matter structure
C4281598,Structure of right knee region
C0223628,Structure of spine of scapula
C5203670,COVID19 (disease)
C0024094,Lumbosacral Region
C0520743,Mediastinal lymphadenopathy
C0158570,Vascular anomaly
C0225809,Left side of heart
C2711227,Steatohepatitis
C0225205,Aponeurosis structure
C0230240,Falciform ligament
C0266039,Taurodontism
C0228207,RIght parietal lobe structure
C0006205,Broad Ligament
C0039484,Temporal bone structure
C0230062,Structure of medial wall of orbit
C0010271,Cranial Sinuses
C0022656,Kidney Cortex Necrosis
C0205129,Sagittal
C0001430,Adenoma
C1504464,Endoleak
C0226032,Anterior descending branch of left coronary artery
C0227794,Fornix of vagina
C1305372,Hilar lymph node
C0151705,Retroperitoneal Hemorrhage
C0042149,Uterus
C0333980,Focal Nodular Hyperplasia
C0149507,Orbital Cellulitis
C0015027,Ethmoid bone structure
C0230139,Thoracic cavity structure
C1996865,Postero-Anterior
C0007275,External carotid artery structure
C0222681,Structure of epicondyle
C4281590,Structure of middle lobe of right lung
C0441478,Surgical advancement - action
C0521377,Rectum and sigmoid colon
C0559499,Biceps brachii muscle structure
C1306460,Primary malignant neoplasm of lung
C0022378,Jejunum
C0524414,Structure of condyle
C0039487,Structure of temporalis muscle
C0023890,Liver Cirrhosis
C0555850,Indwelling urethral catheter
C0007765,Cerebellum
C0227937,Corpus cavernosum structure
C0018994,Biliary Tract Hemorrhage
C0023685,Ligaments
C0458421,Wall of bladder
C0446469,Surface region of upper chest
C0524423,Both cardiac ventricles
C0027651,Neoplasms
C0392014,Trachea displaced
C0018536,Hallux Valgus
C0225892,Structure of outflow tract of right ventricle
C0227608,Structure of hilum of kidney
C0008479,Chondrosarcoma
C0205321,Penetration
C0584884,Subscapularis muscle structure
C0007793,Cerebral Peduncle
C0035298,Retina
C0018827,Heart Ventricle
C0343230,ganglion of knee
C0224519,Synchondrosis structure
C0011646,Dermis
C0332144,Final diagnosis (discharge)
C0225707,Structure of apex of right lung
C0015392,Eye
C0738590,Right hypochondriac region structure
C0225342,Adventitia
C0224828,Structure of suprapatellar bursa
C1305611,Entire body of fourth lumbar vertebra
C0227844,Uterine cavity
C0584646,Myotendinous Junction
C0332554,Shadow
C0333043,Anterior displacement
C0230278,Lesser Pelvis
C0226399,Structure of right external iliac artery
C0230461,Structure of left foot
C0003492,Aortic coarctation
C0224361,Structure of trapezius muscle
C0020888,Iliac Vein
C0029078,Structure of ophthalmic artery
C0228160,RIght lateral ventricle structure
C0026267,Mitral Valve Prolapse Syndrome
C1305912,Entire abdominal viscera
C0006267,Bronchiectasis
C0029441,Osteoid osteoma
C0036270,Scalp structure
C0037944,Spinal Stenosis
C0041341,Tuberous Sclerosis
C0588055,Mediastinal lymph node group
C1827591,Structure of half of thorax lateral to midsagittal plane
C0025584,Metatarsal bone structure
C0578736,Inguinal lymphadenopathy
C0230445,Structure of calf of leg
C0225730,Left lung
C0034896,Rectum
C0015028,Ethmoid sinus structure
C1305729,Entire skeletal muscle of gluteal region
C1704247,Peritoneal Cavity
C0340647,Distal aortic dissection
C0018916,Hemangioma
C1269890,Entire right atrium
C0460048,Large bowel obstruction
C0587044,Left ventricular thrombus
C0223724,Scaphoid bone
C0428851,"Dilatation of pulmonary artery, unspecified"
C0007137,Squamous cell carcinoma
C0447550,Intrahepatic duct
C0229090,Left eye structure
C0040960,Tricuspid valve structure
C0042345,Varicosity
C0039685,Tetralogy of Fallot
C0223896,Structure of tibial tuberosity
C0227980,Structure of left seminal vesicle
C0333204,Non-occlusive thrombus
C0227874,Structure of left ovary
C0158779,Cervical rib
C0005682,Urinary Bladder
C0036394,Structure of sciatic nerve
C0040405,X-Ray Computed Tomography
C0013609,Localized Edema
C0020542,Pulmonary Hypertension
C0225344,Tunica submucosa
C0444567,Ostium
C4545644,Structure of lymph node of right axilla
C0021640,Insula of Reil
C0230448,Structure of left ankle
C0004170,Cervical Atlas
C0226311,Structure of gastroduodenal artery
C0226865,Structure of sigmoid sinus
C3696979,Enthesophyte
C0038532,Structure of subclavian vein
C0152424,Common ventricle
C3665332,Primary hypertrophic cardiomyopathy
C0266387,Bicornuate uterus
C0582821,Lateral rectus muscle structure
C0029180,Ocular orbit
C2334731,Pogonion
C0037996,Structure of splenic artery
C0224319,Structure of multifidus muscle
C0520453,Cannula device
C0226364,Structure of internal iliac artery
C0024221,Lymphangioma
C0265205,Robinow Syndrome
C0333033,Fecalith
C2924613,Cephalometric point B
C0018552,Hamartoma
C0041618,Ultrasonography
C0226213,Structure of right middle cerebral artery
C0225759,Lung field
C0039103,Synovitis
C1305766,Entire outflow tract of left ventricle
C0007770,Structure of cerebral artery
C0225756,Structure of upper lobe of lung
C0738591,Left hypochondriac region structure
C0019155,Structure of hepatic vein
C2712342,Bladder stone (substance)
C0460009,"Back structure, including back of neck"
C0225787,Structure of left pleural cavity
C1265786,Unilocular cyst
C0036471,Scrotum
C0222662,Medullary cavity of bone
C0226801,Structure of basilic vein
C0038590,Substantia nigra structure
C0446569,Knee joint line
C0340776,Aneurysm of vein
C0447556,Neck of pancreas
C0226400,Structure of left external iliac artery
C0440746,brain tissue surgical material
C0041951,Ureter
C0016052,Fibromuscular Dysplasia
C0020885,ileum
C0005974,Bone Resorption
C1533572,Forepaw
C0027530,Neck
C0016733,frontal lobe
C0020507,Hyperplasia
C0585008,Cholangiectasis
C2960749,Intratumor route
C0262950,Skeletal bone
C0230064,Periorbital region
C0206248,Pelvic Diaphragm
C1368999,Late effect of medical intervention
C0459701,First metatarsal structure
C0001516,Adhesives
C0225758,Structure of lower lobe of lung
C0447557,Main pancreatic duct
C0019080,Hemorrhage
C0226503,Structure of venous network
C0038525,Subarachnoid Hemorrhage
C1508753,Urinary system
C0038925,Surgical Flaps
C0230371,Structure of left hand
C0206620,"Lymphangioma, Cystic"
C0241790,Congenital pulmonary arteriovenous malformation
C0227952,Foreskin of penis
C0577870,Aortic valve vegetations
C0223863,Structure of fabella
C1305613,Entire body of fifth lumbar vertebra
C0034052,Pulmonary artery structure
C0230259,Greater omentum
C0230065,Structure of retroorbital region
C0342649,Vascular calcification
C0225452,Right maxillary sinus structure
C4551683,Adrenal Gland Pheochromocytoma
C0340648,dissection of coronary artery
C0225470,Left ethmoid sinus structure
C0019322,Umbilical hernia
C0009438,Common Bile Duct Calculi
C0029453,Osteopenia
C0003507,Aortic Valve Stenosis
C0149555,Third ventricle structure
C0226004,Arterial system
C0221353,Horseshoe Kidney
C0162869,"Aneurysm, Ruptured"
C0027686,Pathologic Neovascularization
C0443294,Ruptured behavior
C2349948,Lingual - Oral site descriptor
C0024959,Maxillary Sinusitis
C1267406,Venous system
C0226262,Structure of left subclavian artery
C0700148,Congestion
C0230318,Right inguinal region
C0223687,Structure of lesser tuberosity of humerus
C0227582,Body of pancreas
C0270687,Pseudomeningocele
C0016520,Structure of interventricular foramen
C0332234,Leaking
C0226156,Structure of right internal carotid artery
C1290884,Inflammatory disorder
C0226214,Structure of left middle cerebral artery
C0025990,Micrognathism
C0205097,Caudal
C4721411,Osteolysis
C5441965,Ascitic Fluid
C0029126,Optic Chiasms
C0003489,Aortic arch structure
C0008733,Chylothorax
C1261192,Ankle region
C0223665,Structure of iliopubic eminence
C0447375,Mesial tooth root
C0038019,Spondylosis
C0229664,peripheral blood
C0010482,Cuspid
C0003516,Aortopulmonary Septal Defect
C0020498,"Hyperostosis, Diffuse Idiopathic Skeletal"
C0206667,Adrenal Cortical Adenoma
C0036098,Salivary Glands
C1535976,Epiploic appendagitis
C0223894,Structure of intercondylar spine of tibia
C0037303,Bone structure of cranium
C0507850,Wall of artery
C0000962,Bone structure of acetabulum
C0149575,Structure of superior cerebellar artery
C0085693,Acute appendicitis NOS (disorder)
C0223866,Structure of lesser trochanter of femur
C0037928,Spinal Cord Diseases
C0041952,Ureterolithiasis
C0038352,Gastric Content
C0028977,Omentum
C0029405,Osteitis Fibrosa Cystica
C1290344,Nonspecific interstitial pneumonia
C0588203,Bone structure of distal ulna
C0008812,Circle of Willis
