ID,CUIs
ROCOv2_2023_train_000074,C0024485
ROCOv2_2023_train_000075,C1306645;C0023216;C1999039
ROCOv2_2023_train_000076,C0024485
ROCOv2_2023_train_000077,C1306645;C0023216;C1999039
ROCOv2_2023_train_000078,C1306645;C0023216;C1999039
ROCOv2_2023_train_000079,C0041618
ROCOv2_2023_train_000080,C0040405
ROCOv2_2023_train_000081,C0041618
ROCOv2_2023_train_000082,C0002978
ROCOv2_2023_train_000083,C1306645;C0000726
ROCOv2_2023_train_000084,C1306645;C0000726;C1999039
ROCOv2_2023_train_000085,C1306645;C0000726;C1999039
ROCOv2_2023_train_000086,C1306645;C0000726;C1999039
ROCOv2_2023_train_000087,C1306645;C0000726;C1999039
ROCOv2_2023_train_000088,C0040405
ROCOv2_2023_train_000089,C1306645;C0817096;C1996865
ROCOv2_2023_train_000090,C0032743
ROCOv2_2023_train_000091,C1306645;C0817096;C1996865
ROCOv2_2023_train_000092,C0041618
ROCOv2_2023_train_000093,C1306645;C0817096;C1996865
ROCOv2_2023_train_000094,C0040405
ROCOv2_2023_train_000095,C0002978
ROCOv2_2023_train_000096,C0040405
ROCOv2_2023_train_000097,C0040405
ROCOv2_2023_train_000098,C1306645;C0000726
ROCOv2_2023_train_000099,C0040405
ROCOv2_2023_train_000100,C0002978
ROCOv2_2023_train_000101,C1306645;C0037303;C0205129
ROCOv2_2023_train_000102,C0040405
ROCOv2_2023_train_000103,C0002978
ROCOv2_2023_train_000104,C1306645;C0000726;C1999039
ROCOv2_2023_train_000105,C0040405
ROCOv2_2023_train_000106,C0041618
ROCOv2_2023_train_000107,C0041618
ROCOv2_2023_train_000108,C1306645;C0817096;C1996865
ROCOv2_2023_train_000109,C0040405
ROCOv2_2023_train_000110,C1306645;C0817096;C1996865
ROCOv2_2023_train_000111,C1306645;C0817096;C1999039
ROCOv2_2023_train_000112,C1306645;C0817096;C1999039
ROCOv2_2023_train_000113,C1306645;C0817096
ROCOv2_2023_train_000114,C0041618
ROCOv2_2023_train_000115,C0041618
ROCOv2_2023_train_000116,C1306645;C0030797;C1999039
ROCOv2_2023_train_000117,C1306645;C0000726;C1999039
ROCOv2_2023_train_000118,C0040405
ROCOv2_2023_train_000119,C0002978
ROCOv2_2023_train_000120,C0041618
ROCOv2_2023_train_000121,C0024485
ROCOv2_2023_train_000122,C1306645;C0037303
ROCOv2_2023_train_000123,C1306645;C0817096;C1996865
ROCOv2_2023_train_000124,C0040405
ROCOv2_2023_train_000125,C1306645;C0817096;C1996865
ROCOv2_2023_train_000126,C0024485
ROCOv2_2023_train_000127,C0040405
ROCOv2_2023_train_000128,C1306645;C0817096;C1999039
ROCOv2_2023_train_000129,C0040405
ROCOv2_2023_train_000130,C1306645;C1140618;C1999039
ROCOv2_2023_train_000131,C1306645;C1140618;C0205129
ROCOv2_2023_train_000132,C0040405
ROCOv2_2023_train_000133,C0024485
ROCOv2_2023_train_000134,C0002978
ROCOv2_2023_train_000135,C0002978
ROCOv2_2023_train_000136,C0002978
ROCOv2_2023_train_000137,C0002978
ROCOv2_2023_train_000138,C0002978
ROCOv2_2023_train_000139,C0002978
ROCOv2_2023_train_000140,C0040405
ROCOv2_2023_train_000141,C0040405
ROCOv2_2023_train_000142,C0040405
ROCOv2_2023_train_000143,C1306645;C0037303
ROCOv2_2023_train_000144,C0024485
ROCOv2_2023_train_000145,C0024485
ROCOv2_2023_train_000146,C1306645;C0037303;C0205129
ROCOv2_2023_train_000147,C0040405
ROCOv2_2023_train_000148,C0040405
ROCOv2_2023_train_000149,C0041618
ROCOv2_2023_train_000150,C1306645;C0030797;C1999039
ROCOv2_2023_train_000151,C1306645;C0023216;C1999039
ROCOv2_2023_train_000152,C0040405
ROCOv2_2023_train_000153,C0040405
ROCOv2_2023_train_000154,C0041618
ROCOv2_2023_train_000155,C0024485
ROCOv2_2023_train_000156,C1306645;C0037303
ROCOv2_2023_train_000157,C1306645;C0037303
ROCOv2_2023_train_000158,C1306645;C0037303
ROCOv2_2023_train_000159,C0040405
ROCOv2_2023_train_000160,C0040405
ROCOv2_2023_train_000161,C0024485
ROCOv2_2023_train_000162,C1306645;C0817096;C1999039
ROCOv2_2023_train_000163,C0040405
ROCOv2_2023_train_000164,C0040405
ROCOv2_2023_train_000165,C0040405
ROCOv2_2023_train_000166,C0041618
ROCOv2_2023_train_000167,C0024485
ROCOv2_2023_train_000168,C1306645;C0037949;C0205129
ROCOv2_2023_train_000169,C1306645;C0817096;C1999039
ROCOv2_2023_train_000170,C0040405
ROCOv2_2023_train_000171,C0041618
ROCOv2_2023_train_000172,C0024485
ROCOv2_2023_train_000173,
ROCOv2_2023_train_000174,C0041618
ROCOv2_2023_train_000175,C0002978
ROCOv2_2023_train_000176,C0002978
ROCOv2_2023_train_000177,C0002978
ROCOv2_2023_train_000178,C1306645;C0817096;C1999039
ROCOv2_2023_train_000179,C1306645;C0000726;C1999039
ROCOv2_2023_train_000180,C0040405
ROCOv2_2023_train_000181,C0040405
ROCOv2_2023_train_000182,C1306645;C0817096;C1996865
ROCOv2_2023_train_000183,C1306645;C0037303
ROCOv2_2023_train_000184,C0040405
ROCOv2_2023_train_000185,C0040405
ROCOv2_2023_train_000186,
ROCOv2_2023_train_000187,C0040405
ROCOv2_2023_train_000188,C1306645;C0037949;C0205129
ROCOv2_2023_train_000189,C1306645;C0037949;C0205129
ROCOv2_2023_train_000190,C0040405
ROCOv2_2023_train_000191,C0040405
ROCOv2_2023_train_000192,C0024485
ROCOv2_2023_train_000193,C0040405
ROCOv2_2023_train_000194,C0024485
ROCOv2_2023_train_000195,C0024485
ROCOv2_2023_train_000196,C0024485
ROCOv2_2023_train_000197,C0024485
ROCOv2_2023_train_000198,C0002978
ROCOv2_2023_train_000199,C0024485
ROCOv2_2023_train_000200,C1306645;C0817096;C1996865
ROCOv2_2023_train_000201,C0024485
ROCOv2_2023_train_000202,C0040405
ROCOv2_2023_train_000203,
ROCOv2_2023_train_000204,C1306645;C0817096;C1999039
ROCOv2_2023_train_000205,C0040405
ROCOv2_2023_train_000206,C0040405
ROCOv2_2023_train_000207,C1306645;C0000726;C1999039
ROCOv2_2023_train_000208,C0002978
ROCOv2_2023_train_000209,C0002978
ROCOv2_2023_train_000210,C0024485
ROCOv2_2023_train_000211,C1306645;C0817096;C1996865
ROCOv2_2023_train_000212,C1306645;C0817096;C1996865
ROCOv2_2023_train_000213,C1306645;C0037303
ROCOv2_2023_train_000214,C1306645;C0037303
ROCOv2_2023_train_000215,C0024485
ROCOv2_2023_train_000216,C1306645;C0817096;C1999039
ROCOv2_2023_train_000217,C0040405
ROCOv2_2023_train_000218,C0040405
ROCOv2_2023_train_000219,C0040405
ROCOv2_2023_train_000220,C0041618
ROCOv2_2023_train_000221,C0024485
ROCOv2_2023_train_000222,C0040405
ROCOv2_2023_train_000223,C0024485
ROCOv2_2023_train_000224,
ROCOv2_2023_train_000225,C0040405
ROCOv2_2023_train_000226,C0040405
ROCOv2_2023_train_000227,C1306645;C0000726
ROCOv2_2023_train_000228,C0040405
ROCOv2_2023_train_000229,C0024485
ROCOv2_2023_train_000230,C1306645;C0023216;C1999039
ROCOv2_2023_train_000231,C1306645;C0023216;C1999039
ROCOv2_2023_train_000232,C1306645;C0023216;C1999039
ROCOv2_2023_train_000233,C0040405
ROCOv2_2023_train_000234,C0041618
ROCOv2_2023_train_000235,C0024485
ROCOv2_2023_train_000236,C0041618
ROCOv2_2023_train_000237,C1306645;C0030797;C1999039
ROCOv2_2023_train_000238,C1306645;C0030797;C1999039
ROCOv2_2023_train_000239,C1306645;C0023216;C1999039
ROCOv2_2023_train_000240,C0040405
ROCOv2_2023_train_000241,C0032743
ROCOv2_2023_train_000242,C0041618
ROCOv2_2023_train_000243,C0041618
ROCOv2_2023_train_000244,C1306645;C0817096;C1999039
ROCOv2_2023_train_000245,C1306645;C0030797;C1999039
ROCOv2_2023_train_000246,C0040405
ROCOv2_2023_train_000247,C0041618
ROCOv2_2023_train_000248,C0041618
ROCOv2_2023_train_000249,C1306645;C0037303
ROCOv2_2023_train_000250,C1306645;C0817096;C1999039
ROCOv2_2023_train_000251,C0040405
ROCOv2_2023_train_000252,C0024485
ROCOv2_2023_train_000253,C0040405
ROCOv2_2023_train_000254,C0040405
ROCOv2_2023_train_000255,C0024485
ROCOv2_2023_train_000256,C0040405
ROCOv2_2023_train_000257,C0040405
ROCOv2_2023_train_000258,C0024485
ROCOv2_2023_train_000259,C0040405
ROCOv2_2023_train_000260,C1306645;C0000726
ROCOv2_2023_train_000261,C1306645;C0000726
ROCOv2_2023_train_000262,C0041618
ROCOv2_2023_train_000263,C0002978
ROCOv2_2023_train_000264,C0002978
ROCOv2_2023_train_000265,C0002978
ROCOv2_2023_train_000266,C0040405
ROCOv2_2023_train_000267,C0040405
ROCOv2_2023_train_000268,C0002978
ROCOv2_2023_train_000269,C0041618
ROCOv2_2023_train_000270,C0041618
ROCOv2_2023_train_000271,C1306645;C0817096;C1996865
ROCOv2_2023_train_000272,C1306645;C0817096;C1996865
ROCOv2_2023_train_000273,C0040405
ROCOv2_2023_train_000274,C0024485
ROCOv2_2023_train_000275,C0040405
ROCOv2_2023_train_000276,C1306645;C0817096;C1996865
ROCOv2_2023_train_000277,C0040405
ROCOv2_2023_train_000278,C0040405
ROCOv2_2023_train_000279,C0040405
ROCOv2_2023_train_000280,C0040405
ROCOv2_2023_train_000281,C0040405
ROCOv2_2023_train_000282,C1306645;C0037303
ROCOv2_2023_train_000283,C0041618
ROCOv2_2023_train_000284,C1306645;C0037949;C0205129
ROCOv2_2023_train_000285,C0024485
ROCOv2_2023_train_000286,C0040405
ROCOv2_2023_train_000287,C0040405
ROCOv2_2023_train_000288,C0024485
ROCOv2_2023_train_000289,C0024485
ROCOv2_2023_train_000290,C0040405
ROCOv2_2023_train_000291,C0024485
ROCOv2_2023_train_000292,C1306645;C0000726;C1999039
ROCOv2_2023_train_000293,C0024485
ROCOv2_2023_train_000294,C0040405
ROCOv2_2023_train_000295,C0040405
ROCOv2_2023_train_000296,C1306645;C0037949;C0205129
ROCOv2_2023_train_000297,C1306645;C0037949;C0205129
ROCOv2_2023_train_000298,C1306645;C0037949;C0205129
ROCOv2_2023_train_000299,C0041618
ROCOv2_2023_train_000300,C1306645;C0000726;C1999039
ROCOv2_2023_train_000301,C0041618
ROCOv2_2023_train_000302,C0041618
ROCOv2_2023_train_000303,C1306645;C0030797;C1999039
ROCOv2_2023_train_000304,C1306645;C0030797;C1999039
ROCOv2_2023_train_000305,C1306645;C0023216;C1999039
ROCOv2_2023_train_000306,C0040405
ROCOv2_2023_train_000307,C0040405
ROCOv2_2023_train_000308,C0040405
ROCOv2_2023_train_000309,C0040405
ROCOv2_2023_train_000310,C0040405
ROCOv2_2023_train_000311,C0024485
ROCOv2_2023_train_000312,C0024485
ROCOv2_2023_train_000313,C0024485
ROCOv2_2023_train_000314,C0024485
ROCOv2_2023_train_000315,C0024485
ROCOv2_2023_train_000316,C0024485
ROCOv2_2023_train_000317,C0024485
ROCOv2_2023_train_000318,C0024485
ROCOv2_2023_train_000319,C0024485
ROCOv2_2023_train_000320,C0024485
ROCOv2_2023_train_000321,C1306645;C0037303
ROCOv2_2023_train_000322,C1306645;C0037303
ROCOv2_2023_train_000323,C1306645;C0037303
ROCOv2_2023_train_000324,C0024485
ROCOv2_2023_train_000325,C0024485
ROCOv2_2023_train_000326,C1306645;C0037949;C1996865
ROCOv2_2023_train_000327,C0024485
ROCOv2_2023_train_000328,C0040405
ROCOv2_2023_train_000329,C0040405
ROCOv2_2023_train_000330,C1306645;C0817096;C1999039
ROCOv2_2023_train_000331,C1306645;C0817096;C1996865
ROCOv2_2023_train_000332,C1306645;C0817096;C1996865
ROCOv2_2023_train_000333,C0040405
ROCOv2_2023_train_000334,C0040405
ROCOv2_2023_train_000335,C0040405
ROCOv2_2023_train_000336,C0040405
ROCOv2_2023_train_000337,C0041618
ROCOv2_2023_train_000338,C0002978
ROCOv2_2023_train_000339,C0041618
ROCOv2_2023_train_000340,C0041618
ROCOv2_2023_train_000341,C0040405
ROCOv2_2023_train_000342,C0024485
ROCOv2_2023_train_000343,C0040405
ROCOv2_2023_train_000344,C0024485
ROCOv2_2023_train_000345,C0024485
ROCOv2_2023_train_000346,C0040405
ROCOv2_2023_train_000347,C0040405
ROCOv2_2023_train_000348,C0040405
ROCOv2_2023_train_000349,C0040405
ROCOv2_2023_train_000350,C1306645;C0023216;C1999039
ROCOv2_2023_train_000351,C0024485
ROCOv2_2023_train_000352,C0024485
ROCOv2_2023_train_000353,C0040405
ROCOv2_2023_train_000354,C0024485
ROCOv2_2023_train_000355,C0040405
ROCOv2_2023_train_000356,C0041618
ROCOv2_2023_train_000357,C0041618
ROCOv2_2023_train_000358,C0040405
ROCOv2_2023_train_000359,
ROCOv2_2023_train_000360,C1306645;C0817096;C1999039
ROCOv2_2023_train_000361,C0002978
ROCOv2_2023_train_000362,C0040405
ROCOv2_2023_train_000363,
ROCOv2_2023_train_000364,C1306645;C0023216
ROCOv2_2023_train_000365,C1306645;C0023216;C1999039
ROCOv2_2023_train_000366,C0041618
ROCOv2_2023_train_000367,C0040405
ROCOv2_2023_train_000368,C0040405
ROCOv2_2023_train_000369,C0040405
ROCOv2_2023_train_000370,C0040405
ROCOv2_2023_train_000371,C0041618
ROCOv2_2023_train_000372,C1306645;C0037303
ROCOv2_2023_train_000373,C1306645;C0037949;C0205129
ROCOv2_2023_train_000374,C0024485
ROCOv2_2023_train_000375,C1306645;C0037949;C0205129
ROCOv2_2023_train_000376,C0024485
ROCOv2_2023_train_000377,C0024485
ROCOv2_2023_train_000378,C1306645;C0023216;C1999039
ROCOv2_2023_train_000379,C0024485
ROCOv2_2023_train_000380,C0024485
ROCOv2_2023_train_000381,C0041618
ROCOv2_2023_train_000382,C1306645;C0030797;C1999039
ROCOv2_2023_train_000383,C1306645;C0030797;C1999039
ROCOv2_2023_train_000384,C0041618
ROCOv2_2023_train_000385,C0041618
ROCOv2_2023_train_000386,C0041618
ROCOv2_2023_train_000387,C0002978
ROCOv2_2023_train_000388,C0040405
ROCOv2_2023_train_000389,C1306645;C0817096
ROCOv2_2023_train_000390,C1306645;C1140618;C1996865
ROCOv2_2023_train_000391,C1306645;C0817096
ROCOv2_2023_train_000392,C1306645;C0023216;C1999039
ROCOv2_2023_train_000393,C1306645;C0023216;C1999039
ROCOv2_2023_train_000394,C0040405
ROCOv2_2023_train_000395,C0040405
ROCOv2_2023_train_000396,C0040405
ROCOv2_2023_train_000397,C0040405
ROCOv2_2023_train_000398,C1306645;C0023216;C1999039
ROCOv2_2023_train_000399,C1306645;C0023216;C1999039
ROCOv2_2023_train_000400,C0040405
ROCOv2_2023_train_000401,C1306645;C0030797;C1999039
ROCOv2_2023_train_000402,C0024485
ROCOv2_2023_train_000403,C0024485
ROCOv2_2023_train_000404,C0024485
ROCOv2_2023_train_000405,C0040405
ROCOv2_2023_train_000406,C0040405
ROCOv2_2023_train_000407,C1306645;C0000726;C1999039
ROCOv2_2023_train_000408,C0040405
ROCOv2_2023_train_000409,C0041618
ROCOv2_2023_train_000410,C1306645;C0817096;C1996865
ROCOv2_2023_train_000411,C0040405
ROCOv2_2023_train_000412,C1306645;C0817096;C1996865
ROCOv2_2023_train_000413,C0040405
ROCOv2_2023_train_000414,C0040405
ROCOv2_2023_train_000415,C0040405
ROCOv2_2023_train_000416,C1306645;C0037303
ROCOv2_2023_train_000417,C1306645;C0037949;C0205129
ROCOv2_2023_train_000418,C0040405
ROCOv2_2023_train_000419,C0040405
ROCOv2_2023_train_000420,C0002978
ROCOv2_2023_train_000421,C0040405
ROCOv2_2023_train_000422,C0040405
ROCOv2_2023_train_000423,C1306645;C0000726
ROCOv2_2023_train_000424,C0040405
ROCOv2_2023_train_000425,C0040405
ROCOv2_2023_train_000426,C0040405
ROCOv2_2023_train_000427,C0040405
ROCOv2_2023_train_000428,C1306645;C0000726;C1999039
ROCOv2_2023_train_000429,C1306645;C0023216;C1999039
ROCOv2_2023_train_000430,C0040405
ROCOv2_2023_train_000431,C0040405
ROCOv2_2023_train_000432,C0040405
ROCOv2_2023_train_000433,C1306645;C0000726;C1999039
ROCOv2_2023_train_000434,C0040405
ROCOv2_2023_train_000435,C0040405
ROCOv2_2023_train_000436,C1306645;C0023216;C1999039
ROCOv2_2023_train_000437,C1306645;C0023216;C0205129
ROCOv2_2023_train_000438,C1306645;C0023216;C1999039
ROCOv2_2023_train_000439,C1306645;C0023216;C0205129
ROCOv2_2023_train_000440,C0040405
ROCOv2_2023_train_000441,C0040405
ROCOv2_2023_train_000442,C0040405
ROCOv2_2023_train_000443,C0040405
ROCOv2_2023_train_000444,C0041618
ROCOv2_2023_train_000445,C1306645;C0817096;C1999039
ROCOv2_2023_train_000446,C1306645;C0817096;C1996865
ROCOv2_2023_train_000447,C1306645;C0023216;C0205129
ROCOv2_2023_train_000448,C0002978
ROCOv2_2023_train_000449,C0040405
ROCOv2_2023_train_000450,C0040405
ROCOv2_2023_train_000451,C0040405
ROCOv2_2023_train_000452,C0024485
ROCOv2_2023_train_000453,C0024485
ROCOv2_2023_train_000454,C0024485
ROCOv2_2023_train_000455,C0024485
ROCOv2_2023_train_000456,C0040405
ROCOv2_2023_train_000457,C0002978
ROCOv2_2023_train_000458,C0040405
ROCOv2_2023_train_000459,C1306645;C0037303
ROCOv2_2023_train_000460,C1306645;C0037303
ROCOv2_2023_train_000461,C1306645;C0037303
ROCOv2_2023_train_000462,C0024485
ROCOv2_2023_train_000463,C1306645;C0817096;C1999039
ROCOv2_2023_train_000464,C1306645;C0817096;C1996865
ROCOv2_2023_train_000465,C0040405
ROCOv2_2023_train_000466,C0024485
ROCOv2_2023_train_000467,C0041618
ROCOv2_2023_train_000468,C0024485
ROCOv2_2023_train_000469,C0040405
ROCOv2_2023_train_000470,C0040405
ROCOv2_2023_train_000471,C0040405
ROCOv2_2023_train_000472,C0040405
ROCOv2_2023_train_000473,C0040405
ROCOv2_2023_train_000474,C0040405
ROCOv2_2023_train_000475,C0024485
ROCOv2_2023_train_000476,C1306645;C0817096;C1999039
ROCOv2_2023_train_000477,C0024485
ROCOv2_2023_train_000478,C1306645;C0817096;C1999039
ROCOv2_2023_train_000479,C0040405
ROCOv2_2023_train_000480,C0040405
ROCOv2_2023_train_000481,C1306645;C0817096;C1999039
ROCOv2_2023_train_000482,C0040405
ROCOv2_2023_train_000483,C0040405
ROCOv2_2023_train_000484,C1306645;C1140618;C1996865
ROCOv2_2023_train_000485,
ROCOv2_2023_train_000486,
ROCOv2_2023_train_000487,C1306645;C0817096;C1996865
ROCOv2_2023_train_000488,C0040405
ROCOv2_2023_train_000489,C1306645;C0817096;C1996865
ROCOv2_2023_train_000490,C1306645;C0817096;C1996865
ROCOv2_2023_train_000491,C1306645;C0037303
ROCOv2_2023_train_000492,C1306645;C0037303;C1996865
ROCOv2_2023_train_000493,C0041618
ROCOv2_2023_train_000494,C0024485
ROCOv2_2023_train_000495,C0040405
ROCOv2_2023_train_000496,C0040405
ROCOv2_2023_train_000497,C0024485
ROCOv2_2023_train_000498,C0024485
ROCOv2_2023_train_000499,C0040405
ROCOv2_2023_train_000500,C0002978
ROCOv2_2023_train_000501,C0041618
ROCOv2_2023_train_000502,C0040405
ROCOv2_2023_train_000503,C0041618
ROCOv2_2023_train_000504,C0024485
ROCOv2_2023_train_000505,C1306645;C0817096;C1996865
ROCOv2_2023_train_000506,C0041618
ROCOv2_2023_train_000507,C0041618
ROCOv2_2023_train_000508,C0002978
ROCOv2_2023_train_000509,C0002978
ROCOv2_2023_train_000510,C0002978
ROCOv2_2023_train_000511,C0040405
ROCOv2_2023_train_000512,C0040405
ROCOv2_2023_train_000513,C0041618
ROCOv2_2023_train_000514,C0040405
ROCOv2_2023_train_000515,C0002978
ROCOv2_2023_train_000516,C0002978
ROCOv2_2023_train_000517,C0041618
ROCOv2_2023_train_000518,C0041618
ROCOv2_2023_train_000519,C0041618
ROCOv2_2023_train_000520,C0024485
ROCOv2_2023_train_000521,C0024485
ROCOv2_2023_train_000522,C0040405
ROCOv2_2023_train_000523,C0024485
ROCOv2_2023_train_000524,C0040405
ROCOv2_2023_train_000525,C0041618
ROCOv2_2023_train_000526,C0002978
ROCOv2_2023_train_000527,C0041618
ROCOv2_2023_train_000528,C0024485
ROCOv2_2023_train_000529,C0040405
ROCOv2_2023_train_000530,C0040405
ROCOv2_2023_train_000531,C1306645;C0023216;C1999039
ROCOv2_2023_train_000532,C1306645;C0023216;C1999039
ROCOv2_2023_train_000533,C1306645;C0023216;C1999039
ROCOv2_2023_train_000534,C1306645;C0023216;C1999039
ROCOv2_2023_train_000535,C0040405
ROCOv2_2023_train_000536,C0040405
ROCOv2_2023_train_000537,C0040405
ROCOv2_2023_train_000538,C0040405
ROCOv2_2023_train_000539,C1306645;C0817096;C1999039
ROCOv2_2023_train_000540,C0040405
ROCOv2_2023_train_000541,C0024485
ROCOv2_2023_train_000542,C0040405
ROCOv2_2023_train_000543,C0040405
ROCOv2_2023_train_000544,C0024485
ROCOv2_2023_train_000545,C0024485
ROCOv2_2023_train_000546,C0024485
ROCOv2_2023_train_000547,C0024485
ROCOv2_2023_train_000548,C0024485
ROCOv2_2023_train_000549,C1306645;C0817096;C1996865
ROCOv2_2023_train_000550,C0040405
ROCOv2_2023_train_000551,C0040405
ROCOv2_2023_train_000552,C1306645;C0037303
ROCOv2_2023_train_000553,C0040405
ROCOv2_2023_train_000554,C0040405
ROCOv2_2023_train_000555,C0040405
ROCOv2_2023_train_000556,C0002978
ROCOv2_2023_train_000557,C0002978
ROCOv2_2023_train_000558,C0040405
ROCOv2_2023_train_000559,C0040405
ROCOv2_2023_train_000560,C0040405
ROCOv2_2023_train_000561,C0041618
ROCOv2_2023_train_000562,C0024485
ROCOv2_2023_train_000563,C0040405
ROCOv2_2023_train_000564,C0024485
ROCOv2_2023_train_000565,C0024485
ROCOv2_2023_train_000566,C0002978
ROCOv2_2023_train_000567,C0002978
ROCOv2_2023_train_000568,C0002978
ROCOv2_2023_train_000569,C0002978
ROCOv2_2023_train_000570,C0002978
ROCOv2_2023_train_000571,C0002978
ROCOv2_2023_train_000572,C0002978
ROCOv2_2023_train_000573,C1306645
ROCOv2_2023_train_000574,C0024485
ROCOv2_2023_train_000575,C0024485
ROCOv2_2023_train_000576,C0002978
ROCOv2_2023_train_000577,C0024485
ROCOv2_2023_train_000578,C1306645;C0037303
ROCOv2_2023_train_000579,C1306645;C0037303
ROCOv2_2023_train_000580,C1306645;C0817096;C1999039
ROCOv2_2023_train_000581,C1306645;C0817096;C1999039
ROCOv2_2023_train_000582,C0040405
ROCOv2_2023_train_000583,C1306645;C0817096;C1996865
ROCOv2_2023_train_000584,C0040405
ROCOv2_2023_train_000585,C1306645;C0817096;C1996865
ROCOv2_2023_train_000586,C1306645;C0817096;C1996865
ROCOv2_2023_train_000587,C1306645;C0817096;C1996865
ROCOv2_2023_train_000588,C0040405
ROCOv2_2023_train_000589,C0040405
ROCOv2_2023_train_000590,C0040405
ROCOv2_2023_train_000591,C1306645;C0817096;C1996865
ROCOv2_2023_train_000592,C0040405
ROCOv2_2023_train_000593,C0040405
ROCOv2_2023_train_000594,C0040405
ROCOv2_2023_train_000595,C0024485
ROCOv2_2023_train_000596,C0024485
ROCOv2_2023_train_000597,C0040405
ROCOv2_2023_train_000598,C0040405
ROCOv2_2023_train_000599,C1306645;C0030797;C1999039
ROCOv2_2023_train_000600,C0040405
ROCOv2_2023_train_000601,C1306645;C0817096;C1996865
ROCOv2_2023_train_000602,C1306645;C0817096;C1996865
ROCOv2_2023_train_000603,C0024485
ROCOv2_2023_train_000604,C0040405
ROCOv2_2023_train_000605,C0024485
ROCOv2_2023_train_000606,C0041618
ROCOv2_2023_train_000607,C0002978
ROCOv2_2023_train_000608,C0040405
ROCOv2_2023_train_000609,C1306645;C0037949;C1999039
ROCOv2_2023_train_000610,C0040405
ROCOv2_2023_train_000611,C0040405
ROCOv2_2023_train_000612,C0002978
ROCOv2_2023_train_000613,C0041618
ROCOv2_2023_train_000614,C0024485
ROCOv2_2023_train_000615,C0041618
ROCOv2_2023_train_000616,C0024485
ROCOv2_2023_train_000617,C0002978
ROCOv2_2023_train_000618,C0024485
ROCOv2_2023_train_000619,C1306645;C0817096;C1996865
ROCOv2_2023_train_000620,C1306645;C0817096;C1996865
ROCOv2_2023_train_000621,C0041618
ROCOv2_2023_train_000622,C0040405
ROCOv2_2023_train_000623,C0040405
ROCOv2_2023_train_000624,C1306645;C1140618;C1999039
ROCOv2_2023_train_000625,C0040405
ROCOv2_2023_train_000626,C0040405
ROCOv2_2023_train_000627,C0040405
